TIME(S),GENERATION,COUNT,MALE%,SIZE,SPEED,V_RADIUS,V_ANGLE,M_ENERGY_TO_OFFSPRING%,F_ENERGY_TO_OFFSPRING%,MTF_OFFSPRING%,M_DESIRABILITY%,F_STANDARDS%,F_GESTATION_PERIOD,MTV_DIG%,MATE_ENERGY_THRESH,BOREDOM_THRESH,EXPLOREMTP
680,2,5,0.4,3.01738,1.788875,7.950986,14.98329,0.434316,0.464564,0.4554231,0.3115048,0.5249397,23.51851,0.5060232,0.5581031,10.85469,21.96025,
700,2,5,0.4,3.01738,1.788875,7.950986,14.98329,0.434316,0.464564,0.4554231,0.3115048,0.5249397,23.51851,0.5060232,0.5581031,10.85469,21.96025,
720,2,5,0.4,3.01738,1.788875,7.950986,14.98329,0.434316,0.464564,0.4554231,0.3115048,0.5249397,23.51851,0.5060232,0.5581031,10.85469,21.96025,
740,2,5,0.4,3.01738,1.788875,7.950986,14.98329,0.434316,0.464564,0.4554231,0.3115048,0.5249397,23.51851,0.5060232,0.5581031,10.85469,21.96025,
760,2,5,0.4,3.01738,1.788875,7.950986,14.98329,0.434316,0.464564,0.4554231,0.3115048,0.5249397,23.51851,0.5060232,0.5581031,10.85469,21.96025,
780,2,5,0.4,3.01738,1.788875,7.950986,14.98329,0.434316,0.464564,0.4554231,0.3115048,0.5249397,23.51851,0.5060232,0.5581031,10.85469,21.96025,
800,2,5,0.4,3.01738,1.788875,7.950986,14.98329,0.434316,0.464564,0.4554231,0.3115048,0.5249397,23.51851,0.5060232,0.5581031,10.85469,21.96025,
820,2,5,0.4,3.01738,1.788875,7.950986,14.98329,0.434316,0.464564,0.4554231,0.3115048,0.5249397,23.51851,0.5060232,0.5581031,10.85469,21.96025,
840,2,5,0.4,3.01738,1.788875,7.950986,14.98329,0.434316,0.464564,0.4554231,0.3115048,0.5249397,23.51851,0.5060232,0.5581031,10.85469,21.96025,
860,2,5,0.4,3.01738,1.788875,7.950986,14.98329,0.434316,0.464564,0.4554231,0.3115048,0.5249397,23.51851,0.5060232,0.5581031,10.85469,21.96025,
880,2,5,0.4,3.01738,1.788875,7.950986,14.98329,0.434316,0.464564,0.4554231,0.3115048,0.5249397,23.51851,0.5060232,0.5581031,10.85469,21.96025,
900,2,5,0.4,3.01738,1.788875,7.950986,14.98329,0.434316,0.464564,0.4554231,0.3115048,0.5249397,23.51851,0.5060232,0.5581031,10.85469,21.96025,
920,2,5,0.4,3.01738,1.788875,7.950986,14.98329,0.434316,0.464564,0.4554231,0.3115048,0.5249397,23.51851,0.5060232,0.5581031,10.85469,21.96025,
940,2,5,0.4,3.01738,1.788875,7.950986,14.98329,0.434316,0.464564,0.4554231,0.3115048,0.5249397,23.51851,0.5060232,0.5581031,10.85469,21.96025,
960,2,5,0.4,3.01738,1.788875,7.950986,14.98329,0.434316,0.464564,0.4554231,0.3115048,0.5249397,23.51851,0.5060232,0.5581031,10.85469,21.96025,
980,2,5,0.4,3.01738,1.788875,7.950986,14.98329,0.434316,0.464564,0.4554231,0.3115048,0.5249397,23.51851,0.5060232,0.5581031,10.85469,21.96025,
1000,2,5,0.4,3.01738,1.788875,7.950986,14.98329,0.434316,0.464564,0.4554231,0.3115048,0.5249397,23.51851,0.5060232,0.5581031,10.85469,21.96025,
1020,2,5,0.4,3.01738,1.788875,7.950986,14.98329,0.434316,0.464564,0.4554231,0.3115048,0.5249397,23.51851,0.5060232,0.5581031,10.85469,21.96025,
1040,2,6,0.5,3.048429,1.803736,7.106707,17.53445,0.454518,0.5120921,0.5044402,0.2712018,0.4883899,23.968,0.4784846,0.5970916,11.41771,22.7399,
1060,2,7,0.4285714,3.023819,1.834667,7.730525,16.62498,0.4302127,0.4990422,0.5155197,0.2401892,0.5201303,24.28693,0.515081,0.5852814,10.29918,22.93597,
1080,2,7,0.4285714,3.023819,1.834667,7.730525,16.62498,0.4302127,0.4990422,0.5155197,0.2401892,0.5201303,24.28693,0.515081,0.5852814,10.29918,22.93597,
1100,2,8,0.375,2.994771,1.849493,8.111071,15.88357,0.4107239,0.4921366,0.5003191,0.2558195,0.5501353,24.43565,0.5428938,0.5703411,9.440099,23.28236,
1120,2,8,0.375,2.994771,1.849493,8.111071,15.88357,0.4107239,0.4921366,0.5003191,0.2558195,0.5501353,24.43565,0.5428938,0.5703411,9.440099,23.28236,
1141,2,8,0.375,2.994771,1.849493,8.111071,15.88357,0.4107239,0.4921366,0.5003191,0.2558195,0.5501353,24.43565,0.5428938,0.5703411,9.440099,23.28236,
1161,3,9,0.4444444,2.964497,1.881334,8.573183,15.44477,0.3972963,0.4841065,0.511169,0.2338109,0.5213627,24.60807,0.5624318,0.5625866,9.98124,23.65526,
1181,3,9,0.4444444,2.964497,1.881334,8.573183,15.44477,0.3972963,0.4841065,0.511169,0.2338109,0.5213627,24.60807,0.5624318,0.5625866,9.98124,23.65526,
1201,3,9,0.4444444,2.964497,1.881334,8.573183,15.44477,0.3972963,0.4841065,0.511169,0.2338109,0.5213627,24.60807,0.5624318,0.5625866,9.98124,23.65526,
1221,3,11,0.4545455,2.940616,1.89948,10.15883,14.73724,0.3798844,0.4751269,0.5069332,0.2308388,0.5284601,24.88832,0.5699589,0.5456372,9.624963,23.80842,
1241,3,11,0.4545455,2.940616,1.89948,10.15883,14.73724,0.3798844,0.4751269,0.5069332,0.2308388,0.5284601,24.88832,0.5699589,0.5456372,9.624963,23.80842,
1261,3,11,0.4545455,2.940616,1.89948,10.15883,14.73724,0.3798844,0.4751269,0.5069332,0.2308388,0.5284601,24.88832,0.5699589,0.5456372,9.624963,23.80842,
1281,3,11,0.4545455,2.940616,1.89948,10.15883,14.73724,0.3798844,0.4751269,0.5069332,0.2308388,0.5284601,24.88832,0.5699589,0.5456372,9.624963,23.80842,
1301,3,11,0.4545455,2.940616,1.89948,10.15883,14.73724,0.3798844,0.4751269,0.5069332,0.2308388,0.5284601,24.88832,0.5699589,0.5456372,9.624963,23.80842,
1321,3,13,0.5384616,2.943415,1.922604,9.825306,14.23653,0.4050347,0.4640869,0.5306095,0.2406924,0.5292446,25.15563,0.5644158,0.5377979,10.0921,23.94032,
1341,3,13,0.5384616,2.943415,1.922604,9.825306,14.23653,0.4050347,0.4640869,0.5306095,0.2406924,0.5292446,25.15563,0.5644158,0.5377979,10.0921,23.94032,
1361,3,15,0.6,2.917177,1.928118,10.00523,13.64072,0.4198985,0.4814627,0.5196028,0.2377581,0.5338127,24.24655,0.5598419,0.5147902,9.901135,24.0734,
1381,3,15,0.6,2.917177,1.928118,10.00523,13.64072,0.4198985,0.4814627,0.5196028,0.2377581,0.5338127,24.24655,0.5598419,0.5147902,9.901135,24.0734,
1401,3,15,0.6,2.917177,1.928118,10.00523,13.64072,0.4198985,0.4814627,0.5196028,0.2377581,0.5338127,24.24655,0.5598419,0.5147902,9.901135,24.0734,
1421,3,17,0.5882353,2.89021,1.913596,10.15522,14.2695,0.4358556,0.4786463,0.5469941,0.2605966,0.5357533,24.58957,0.5447475,0.5341954,9.720142,23.99518,
1441,3,17,0.5882353,2.89021,1.913596,10.15522,14.2695,0.4358556,0.4786463,0.5469941,0.2605966,0.5357533,24.58957,0.5447475,0.5341954,9.720142,23.99518,
1461,3,17,0.5882353,2.927323,1.910922,9.538297,14.11677,0.4495302,0.477574,0.580188,0.2421824,0.5397524,24.76933,0.53461,0.5257406,9.202441,23.87943,
1481,3,16,0.5625,2.938225,1.888532,9.320536,14.20233,0.4420948,0.482878,0.5798078,0.2245721,0.553238,24.67089,0.521768,0.5262421,9.05661,23.80005,
1501,3,17,0.5294118,2.932492,1.87946,9.417726,13.97832,0.4333955,0.4830241,0.5881995,0.2328563,0.5668349,24.78588,0.5319146,0.5271148,8.737978,23.80424,
1521,3,17,0.4705882,2.915864,1.865739,10.0452,13.96351,0.4331753,0.4831963,0.5956089,0.2520286,0.5685754,24.87677,0.5186454,0.5262791,8.619232,23.61927,
1541,4,19,0.4210526,2.898211,1.858301,10.32822,13.69741,0.4305314,0.4740359,0.5904216,0.2481243,0.5902005,25.2572,0.5087128,0.5163843,8.571587,23.66578,
1561,4,20,0.45,2.899066,1.867032,9.856722,13.66395,0.4361619,0.47288,0.5808907,0.2545474,0.5945435,25.33389,0.5072718,0.5185879,8.784182,23.77616,
1581,4,19,0.4210526,2.894758,1.800405,10.86838,14.70305,0.4436092,0.4786678,0.6015137,0.2569505,0.6293801,25.16045,0.5085482,0.5167439,9.158611,23.72193,
1601,4,19,0.4736842,2.871669,1.84427,10.82612,13.7727,0.42805,0.4756141,0.5921459,0.240618,0.6091292,25.39282,0.5072284,0.5210219,8.615283,23.71733,
1621,4,21,0.4285714,2.872712,1.856329,10.49527,13.47901,0.413485,0.4695532,0.5798434,0.2395616,0.6179792,24.75243,0.5126699,0.5205939,8.603905,23.87078,
1641,4,21,0.4761905,2.856905,1.851388,10.18965,13.58943,0.4274127,0.4540684,0.5722141,0.2401764,0.5894834,24.74329,0.4830258,0.5330085,9.066115,23.81565,
1661,4,20,0.5,2.831888,1.847561,10.55582,13.74444,0.4232339,0.4568593,0.5719118,0.2489452,0.5815269,24.61291,0.4914196,0.5446058,9.344991,23.78033,
1681,4,21,0.4285714,2.835108,1.834178,12.15899,13.5056,0.4148298,0.4589244,0.5794852,0.2393765,0.5955108,24.55498,0.4852794,0.5390776,8.618217,23.72927,
1701,4,23,0.4347826,2.863573,1.843068,10.44854,13.24383,0.391915,0.456063,0.5859372,0.2385561,0.6185298,24.67198,0.50632,0.5432487,8.523211,24.01404,
1721,4,26,0.4615385,2.8839,1.849811,11.85218,12.86399,0.3968342,0.4547467,0.5862048,0.2549122,0.6368468,25.00214,0.5090075,0.5364817,7.940547,24.08854,
1741,4,24,0.5,2.889725,1.851995,11.80093,12.98231,0.3871163,0.4589453,0.5903421,0.270669,0.6251909,24.84544,0.5230107,0.546679,8.316796,24.07833,
