TIME(S),GENERATION,COUNT,MALE%,SIZE,SPEED,V_RADIUS,V_ANGLE,VA_BOOST_LIKELIHOOD,VA_BOOST_STRENGTH,M_ENERGY_TO_OFFSPRING%,F_ENERGY_TO_OFFSPRING%,MTF_OFFSPRING%,M_DESIRABILITY%,F_STANDARDS%,F_GESTATION_PERIOD,MTV_DIG%,MATE_ENERGY_THRESH,BOREDOM_THRESH,EXPLOREMTP
0,1,1000,0.494,4.022,25.728,24.704,19.5,0,0.1090361,0.5099288,0.4128008,0.4945856,0.490936,0.6542081,17.5209,0.4891655,0.5007054,7.444,16.57,
20,2,52,0.6538461,3.722037,2.001788,24.49182,19.91887,0,0.1113608,0.4935546,0.3988943,0.4857631,0.5756612,0.633714,16.84189,0.440595,0.4726281,6.33902,17.103,
40,3,39,0.7948718,3.763283,1.857937,23.54713,19.44523,0,0.1107455,0.4780703,0.3915531,0.4695465,0.598326,0.6424611,17.63659,0.4439017,0.4699458,6.485665,17.23088,
60,2,22,0.8181818,3.876985,1.44995,15.8746,17.41531,0,0.1082054,0.4734765,0.4297214,0.4938488,0.5445096,0.6260639,19.73699,0.4111079,0.4143952,5.806969,16.93068,
80,2,14,0.9285714,3.610002,1.431834,11.2606,17.438,0,0.1042545,0.3874635,0.465461,0.4523444,0.525679,0.5999882,17.37752,0.4638322,0.3977519,5.850995,16.56718,
100,2,12,0.9166667,3.461669,1.420473,10.4707,16.92766,0,0.1075554,0.3724444,0.4665599,0.4776134,0.5373598,0.5901763,18.82783,0.4545758,0.4207747,6.159494,16.57838,
120,2,9,0.8888889,3.426069,1.443117,5.787224,15.50568,0,0.1051527,0.2657687,0.4423852,0.4813875,0.5396586,0.5385194,20.02203,0.5145228,0.3904169,6.319209,15.78699,
140,2,8,0.875,3.479328,1.248507,5.510627,15.69389,0,0.1070896,0.2853422,0.4709733,0.5353174,0.5237828,0.5450205,19.56511,0.5589737,0.3329761,6.23411,15.13537,
160,2,8,0.75,3.453981,1.125468,5.385768,15.56349,0,0.1103439,0.2857129,0.4699675,0.5242291,0.481976,0.569783,17.31532,0.5554967,0.3316165,6.232744,13.2086,
180,2,7,0.7142857,3.518836,1.000534,5.583735,16.35827,0,0.1108846,0.289092,0.509048,0.4583167,0.4775662,0.5619348,18.04094,0.5707196,0.3442447,6.694564,13.38126,
200,2,6,0.6666667,3.438642,1.000624,5.847691,17.41798,0,0.1077375,0.2658414,0.5035391,0.3987455,0.5100068,0.5911946,17.14884,0.5190023,0.3746815,7.476992,11.4448,
220,2,6,0.6666667,3.438642,1.000624,5.847691,17.41798,0,0.1077375,0.2658414,0.5035391,0.3987455,0.5100068,0.5911946,17.14884,0.5190023,0.3746815,7.476992,11.4448,
240,2,6,0.6666667,3.438642,1.000624,5.847691,17.41798,0,0.1077375,0.2658414,0.5035391,0.3987455,0.5100068,0.5911946,17.14884,0.5190023,0.3746815,7.476992,11.4448,
260,2,6,0.6666667,3.438642,1.000624,5.847691,17.41798,0,0.1077375,0.2658414,0.5035391,0.3987455,0.5100068,0.5911946,17.14884,0.5190023,0.3746815,7.476992,11.4448,
280,2,6,0.6666667,3.438642,1.000624,5.847691,17.41798,0,0.1077375,0.2658414,0.5035391,0.3987455,0.5100068,0.5911946,17.14884,0.5190023,0.3746815,7.476992,11.4448,
300,2,6,0.6666667,3.438642,1.000624,5.847691,17.41798,0,0.1077375,0.2658414,0.5035391,0.3987455,0.5100068,0.5911946,17.14884,0.5190023,0.3746815,7.476992,11.4448,
320,2,6,0.6666667,3.438642,1.000624,5.847691,17.41798,0,0.1077375,0.2658414,0.5035391,0.3987455,0.5100068,0.5911946,17.14884,0.5190023,0.3746815,7.476992,11.4448,
340,2,6,0.6666667,3.438642,1.000624,5.847691,17.41798,0,0.1077375,0.2658414,0.5035391,0.3987455,0.5100068,0.5911946,17.14884,0.5190023,0.3746815,7.476992,11.4448,
360,2,6,0.6666667,3.438642,1.000624,5.847691,17.41798,0,0.1077375,0.2658414,0.5035391,0.3987455,0.5100068,0.5911946,17.14884,0.5190023,0.3746815,7.476992,11.4448,
380,2,6,0.6666667,3.438642,1.000624,5.847691,17.41798,0,0.1077375,0.2658414,0.5035391,0.3987455,0.5100068,0.5911946,17.14884,0.5190023,0.3746815,7.476992,11.4448,
