TIME(S),GENERATION,COUNT,MALE%,SIZE,SPEED,V_RADIUS,V_ANGLE,VA_BOOST_LIKELIHOOD,VA_BOOST_STRENGTH,M_ENERGY_TO_OFFSPRING%,F_ENERGY_TO_OFFSPRING%,MTF_OFFSPRING%,M_DESIRABILITY%,F_STANDARDS%,F_GESTATION_PERIOD,MTV_DIG%,MATE_ENERGY_THRESH,BOREDOM_THRESH,EXPLOREMTP
620,4,14,0.5714286,3.210762,1.171142,15.6326,19.34697,0,0.1126693,0.3582847,0.262432,0.5834127,0.4056668,0.7547573,16.63349,0.4356907,0.4270561,9.797519,16.45727,
640,4,17,0.4705882,3.176755,1.137371,16.51967,19.0133,0,0.1122855,0.3380796,0.2558029,0.5906653,0.4207177,0.7411693,16.50626,0.4274222,0.4141817,9.468758,16.66512,
660,4,18,0.4444444,3.149217,1.124992,17.03236,18.78935,0,0.1142924,0.361761,0.250199,0.5738068,0.4051615,0.7395404,16.53401,0.459232,0.4073046,9.505307,16.26978,
680,4,19,0.4210526,3.13176,1.123022,17.70462,18.96545,0,0.1134079,0.344986,0.2581489,0.5878504,0.4110878,0.7507003,16.61851,0.4553814,0.4046617,9.505246,16.11829,
700,4,19,0.368421,3.137141,1.122434,18.47932,18.93011,0,0.1171153,0.349924,0.246102,0.607768,0.411421,0.7648054,16.85877,0.450783,0.3947838,9.628975,16.02377,
720,4,19,0.368421,3.137141,1.122434,18.47932,18.93011,0,0.1171153,0.349924,0.246102,0.607768,0.411421,0.7648054,16.85877,0.450783,0.3947838,9.628975,16.02377,
740,4,20,0.35,3.12162,1.115085,18.84571,18.43037,0,0.1185908,0.3486959,0.2404371,0.6006269,0.4109295,0.7584431,16.32567,0.4515227,0.3924783,9.345494,16.40615,
760,4,20,0.35,3.123663,1.110506,19.1927,18.49055,0,0.1219024,0.374208,0.239958,0.6035832,0.4073141,0.7584431,16.11256,0.4810461,0.3929378,9.344912,16.66527,
780,4,21,0.3809524,3.166686,1.10201,19.04628,18.70528,0,0.1228721,0.3723147,0.2471058,0.5964778,0.4126532,0.7682548,16.14395,0.4768143,0.3907074,9.551301,16.4936,
800,4,21,0.3809524,3.226739,1.102268,18.66943,19.07363,0,0.1229784,0.3572669,0.2479042,0.6043155,0.4313935,0.7819762,16.20337,0.4459091,0.3901515,9.681062,16.74532,
820,4,22,0.4090909,3.140806,1.204239,19.49183,18.38191,0,0.1215291,0.3927077,0.2674094,0.6225817,0.4259417,0.758634,16.19416,0.4414334,0.4256774,8.973569,16.6169,
840,4,25,0.4,3.114385,1.10346,20.3998,17.55404,0,0.1132931,0.410803,0.2882879,0.6295443,0.4195633,0.7356269,14.52936,0.4050532,0.4146209,8.547157,17.3403,
